Gender,Academic librarian,Accommodation manager,"Accountant, chartered","Accountant, chartered certified","Accountant, chartered management","Accountant, chartered public finance",Accounting technician
0,3,8,54,40,41,35,100
0,74,35,40,67,74,55,60
0,114,86,22,102,86,99,95
0,25,32,37,44,97,92,110
0,53,16,60,27,57,60,77
0,110,17,72,46,26,26,107
0,79,10,31,111,15,91,95
0,94,79,105,10,26,72,75
0,52,74,43,95,111,102,16
0,100,5,107,71,41,28,86
0,62,113,69,22,43,67,12
0,13,14,60,92,18,52,74
0,67,40,85,101,23,18,81
0,12,109,65,47,54,79,77
0,106,71,80,45,31,114,100
0,58,7,7,46,32,8,87
0,27,65,97,8,13,107,86
0,113,28,18,40,50,10,35
0,48,75,38,53,34,51,85
0,109,8,27,93,22,99,65
0,36,65,48,33,98,106,105
0,94,115,110,35,56,84,113
1,15,31,100,110,25,84,62
1,25,72,110,36,59,114,114
1,28,82,115,22,17,117,46
1,40,26,80,53,112,78,10
1,24,85,69,17,54,88,75
1,32,92,95,44,30,106,25
1,21,106,108,107,101,86,4
1,107,68,17,13,18,88,87
1,52,56,26,106,49,88,102
1,21,56,67,105,38,89,114
1,26,20,16,97,95,89,86
1,46,100,110,95,36,102,21
1,7,22,117,45,16,98,96
1,4,29,68,108,33,92,107
1,11,7,26,29,71,22,14
1,88,53,16,13,79,108,47
1,80,22,65,26,74,46,103
1,108,104,88,57,31,40,88
1,76,4,78,67,93,87,62
1,53,17,92,92,77,56,89
1,80,88,38,100,15,96,55
1,67,65,69,81,79,93,79
1,38,99,14,48,113,65,24
1,9,51,91,113,60,92,80
1,87,61,24,15,32,7,55
1,86,44,113,8,50,96,71
1,69,77,14,113,36,56,61
1,34,47,108,74,85,93,84
1,6,2,42,97,55,94,90
1,14,28,91,93,20,29,85
1,30,6,79,66,11,112,61
1,46,78,11,79,80,108,23
1,75,77,26,44,39,52,91
1,64,26,71,52,17,60,67
1,90,35,99,78,90,27,33
1,88,60,87,36,52,56,35
1,38,54,12,33,60,22,19
1,45,36,33,51,108,55,107
1,89,44,70,29,49,112,93
1,110,91,64,38,80,113,96
1,43,42,23,56,32,40,102
1,78,20,71,59,6,35,25
1,80,68,95,99,60,47,32
1,60,35,104,90,3,6,30
1,8,62,57,68,13,92,52
1,71,55,9,65,77,16,88
1,99,105,42,93,53,16,25
1,82,39,38,84,113,10,11
1,7,19,87,37,93,110,105
1,74,82,62,83,25,98,46
1,38,6,104,84,102,21,71
1,51,55,69,12,56,111,53
1,61,100,38,72,3,54,91
1,112,38,99,5,116,3,105
1,110,33,74,26,27,101,47
1,36,86,77,108,95,57,118
1,61,47,90,93,86,77,65
1,105,40,32,51,103,60,115
1,82,88,23,55,108,37,25
1,97,108,73,17,48,41,110
1,74,29,30,23,36,62,18
1,46,59,105,3,107,45,55
1,43,58,61,59,97,39,54
1,34,44,76,27,94,38,101
1,78,23,79,16,24,99,77
1,11,22,95,29,102,78,10
1,42,99,85,93,99,65,63
1,81,38,84,47,108,74,117
1,49,35,86,87,14,40,90
1,65,27,84,16,48,85,53
1,18,90,57,96,84,93,59
1,74,15,103,57,56,3,18
1,105,34,65,55,90,87,79
